program_id,step_id,prefill_s,decode_s,pause_s,tool_call_s,kv_hit_rate,completed_at
8,1,0.1631,7.8576,0.0001,0.0,0.7094,1768287165.842
0,1,0.5321,12.69,0.0001,0.0,0.6662,1768287170.2912
6,1,0.0544,13.7235,0.0001,0.0,0.9894,1768287170.3588
10,1,0.0804,12.1221,0.0001,0.0,0.995,1768287170.4912
7,1,0.4845,13.1682,0.0001,0.0,0.3629,1768287170.6273
5,1,0.0425,14.5354,0.0001,0.0,0.996,1768287171.1373
12,1,0.1612,17.3365,0.0001,0.0,0.7302,1768287176.359
13,1,0.1773,20.5418,0.0001,0.0,0.6999,1768287179.8734
22,1,0.2341,17.8394,0.0001,0.0,0.7517,1768287179.9914
21,1,0.095,20.7467,0.0001,0.0,0.9883,1768287182.247
8,2,0.9117,17.2708,0.0002,0.7162,0.4123,1768287184.7441
3,1,0.0506,28.8069,0.0001,0.0,0.9939,1768287185.267
23,1,0.3456,24.6754,0.0001,0.0,0.9985,1768287186.8271
12,2,1.1614,14.5123,0.0001,0.4021,0.8461,1768287192.4391
7,2,4.7354,17.1794,0.0002,0.9906,0.5689,1768287193.5335
13,2,0.8917,12.3268,0.0001,0.4468,0.4276,1768287193.5397
26,1,0.1106,30.4017,0.0001,0.0,0.989,1768287193.9321
6,2,0.8669,21.7571,0.0001,1.077,0.4323,1768287194.0637
17,1,0.0726,37.8187,0.0001,0.0,0.9954,1768287198.5539
10,2,4.7488,22.6352,0.0001,1.1155,0.4395,1768287198.9931
27,1,0.106,37.5255,0.0001,0.0,0.9968,1768287201.4065
8,3,0.2148,16.2597,0.0002,0.4783,0.9746,1768287201.6982
32,1,0.3321,39.3385,0.0001,0.0,0.993,1768287205.817
0,2,4.8505,29.4604,0.0001,1.2126,0.4341,1768287205.8182
34,1,1.1177,37.8687,0.0001,0.0,0.991,1768287205.8188
23,2,1.0128,20.7792,0.0001,0.3958,0.4284,1768287209.0168
18,1,0.4656,48.3916,0.0001,0.0,0.3975,1768287210.4185
2,1,0.2765,45.5379,0.0001,0.0,0.6919,1768287212.0162
21,2,0.9577,30.2584,0.0001,0.4427,0.3956,1768287213.9078
31,1,0.221,47.2601,0.0001,0.0,0.6588,1768287213.9125
17,2,0.3166,14.9916,0.0001,0.375,0.8075,1768287214.238
46,1,4.5568,38.0403,0.0001,0.0,0.9952,1768287214.4011
4,1,0.8244,47.8673,0.0001,0.0,0.6022,1768287215.817
28,1,1.2949,38.3262,0.0001,0.0,0.7279,1768287215.8185
6,3,3.5867,17.9027,0.0002,0.421,0.865,1768287215.977
5,2,4.5714,39.7803,0.0002,0.646,0.461,1768287216.1374
29,1,0.2345,50.9722,0.0001,0.0,0.6756,1768287217.2886
3,2,1.1306,30.4619,0.0001,0.4312,0.5075,1768287217.2934
38,1,0.1396,48.2226,0.0003,0.0,0.9993,1768287218.8502
32,2,1.3881,11.6035,0.0001,0.3821,0.8549,1768287219.1921
58,1,4.5415,41.7068,0.0001,0.0,0.9903,1768287219.1974
37,1,0.5553,52.3452,0.0001,0.0,0.4786,1768287220.2948
13,3,2.5331,23.7099,0.0001,0.511,0.953,1768287220.2963
9,1,4.8208,47.256,0.0001,0.0,0.6898,1768287223.617
10,3,0.3592,23.9602,0.0001,0.4739,0.9265,1768287223.79
59,1,1.9826,46.2993,0.0001,0.0,0.9883,1768287223.7911
24,1,2.0312,46.3002,0.0001,0.0,0.7379,1768287223.7917
57,1,1.3758,44.2426,0.0001,0.0,0.7326,1768287227.0321
55,1,4.7134,49.9058,0.0001,0.0,0.7114,1768287227.3962
41,1,0.1412,59.3771,0.0001,0.0,0.9906,1768287230.7088
12,3,2.521,32.8168,0.0001,3.1131,0.8085,1768287230.8928
34,2,1.3621,23.6648,0.0001,0.4066,0.4068,1768287231.2544
49,1,4.6748,57.2658,0.0001,0.0,0.3798,1768287233.6247
15,1,4.295,57.6374,0.0001,0.0,0.6556,1768287233.9961
42,1,0.9138,61.6905,0.0001,0.0,0.9932,1768287233.9973
43,1,4.7568,58.9826,0.0001,0.0,0.9909,1768287235.3398
44,1,0.3368,57.9985,0.0001,0.0,0.546,1768287237.0487
27,2,0.6088,36.0885,0.0001,0.4072,0.5327,1768287238.5135
54,1,1.4241,56.4573,0.0001,0.0,0.6244,1768287238.7016
17,3,1.1645,23.0775,0.0001,0.4129,0.9486,1768287238.8945
18,2,1.2009,27.7359,0.0001,0.3941,0.5518,1768287239.7524
31,2,0.5592,24.8685,0.0001,0.4108,0.8565,1768287239.7535
7,3,2.5253,48.1012,0.0002,0.5242,0.6194,1768287244.6862
37,2,2.4231,21.5992,0.0001,0.3679,0.8732,1768287244.6881
4,2,1.0245,29.0268,0.0001,0.4494,0.8296,1768287246.3203
60,1,1.0998,64.2715,0.0001,0.0,0.7619,1768287246.5161
46,2,1.0052,30.7031,0.0001,0.4088,0.4058,1768287246.5205
23,3,0.5205,36.9731,0.0001,0.3943,0.8665,1768287246.906
30,1,0.1089,80.8105,0.0001,0.0,0.9953,1768287246.9071
26,2,3.6581,52.5586,0.0002,0.4798,0.432,1768287250.6294
2,2,0.9818,37.2199,0.0001,0.4199,0.4216,1768287250.6389
22,2,1.7897,68.5856,0.0001,0.4608,0.3941,1768287250.8299
36,1,0.7965,72.9068,0.0001,0.0,0.6871,1768287250.834
47,1,4.5362,75.6305,0.0001,0.0,0.997,1768287251.9867
63,1,2.0319,75.0539,0.0001,0.0,0.9939,1768287252.5415
13,4,2.3423,29.4591,0.0002,0.4462,0.5575,1768287252.5461
62,1,0.8235,72.5764,0.0001,0.0,0.5632,1768287255.3653
33,1,1.2966,79.025,0.0001,0.0,0.6809,1768287256.5133
6,4,1.4419,38.6748,0.0002,0.4226,0.9673,1768287256.5186
32,3,1.269,36.2747,0.0001,0.3951,0.9683,1768287257.1331
45,1,0.3673,85.0785,0.0001,0.0,0.6328,1768287264.7065
19,1,2.3325,88.4176,0.0001,0.0,0.631,1768287265.9055
58,2,1.2666,45.0487,0.0001,0.3942,0.6301,1768287265.9099
9,2,0.9902,41.3039,0.0001,0.4247,0.4188,1768287266.3381
3,3,1.1147,47.7018,0.0002,0.4376,0.968,1768287266.5493
0,3,1.3677,59.1682,0.0001,0.4011,0.8427,1768287266.7584
31,3,4.5361,22.0764,0.0001,0.3937,0.9194,1768287266.7625
44,2,0.8847,28.6491,0.0001,0.3818,0.8765,1768287266.9672
21,3,0.5514,57.3995,0.0001,0.4196,0.8767,1768287272.2809
54,2,1.2613,32.5363,0.0001,0.4521,0.8546,1768287272.9532
38,2,0.9988,53.6945,0.0001,0.4432,0.4229,1768287273.9892
34,3,1.0386,41.5921,0.0001,0.3926,0.8632,1768287274.2799
59,2,2.8111,47.4688,0.0001,0.4288,0.4036,1768287274.5008
4,3,0.3325,28.6082,0.0001,0.4742,0.9858,1768287275.7378
12,4,0.596,50.0459,0.0001,1.1989,0.968,1768287282.7365
49,2,1.2449,48.1643,0.0002,0.4682,0.5541,1768287283.5045
52,1,4.4847,107.1456,0.0002,0.0,0.9992,1768287283.5055
28,2,1.0168,67.6854,0.0001,0.452,0.4038,1768287284.9748
25,1,0.2642,84.7535,0.0001,0.0,0.6809,1768287284.976
14,1,4.3892,111.7368,0.0001,0.0,0.6617,1768287288.0937
37,3,0.9762,42.2207,0.0001,0.4542,0.9582,1768287288.3405
46,3,0.7482,41.6496,0.0001,0.4889,0.8277,1768287289.4085
48,1,0.2593,112.497,0.0001,0.0,0.6957,1768287291.7556
5,3,1.2624,76.1681,0.0001,0.4388,0.8758,1768287294.0087
45,2,0.5674,28.3233,0.0001,0.4153,0.858,1768287294.0141
30,2,3.0942,44.06,0.0001,0.429,0.6206,1768287294.4927
16,1,0.0638,138.4969,0.0001,0.0,0.989,1768287298.5913
61,1,1.3436,116.9993,0.0001,0.0,0.5614,1768287299.7919
1,1,3.7872,102.8719,0.0001,0.0,0.5483,1768287300.9454
27,3,0.7753,61.1973,0.0001,0.4611,0.7347,1768287300.9496
19,2,0.6855,34.9536,0.0001,0.9942,0.8366,1768287302.5406
6,5,5.5223,42.5106,0.0002,0.4873,0.4586,1768287305.0412
22,3,1.2311,53.7924,0.0001,0.478,0.8756,1768287306.3321
2,3,0.857,54.3491,0.0003,0.4885,0.866,1768287306.3362
29,2,1.1288,87.4896,0.0002,0.4302,0.4324,1768287306.3402
13,5,1.6241,51.811,0.0002,0.3565,0.9944,1768287306.341
36,2,1.2331,54.0292,0.0001,0.4772,0.8544,1768287306.5758
17,4,1.1037,66.3984,0.0001,0.414,0.6738,1768287306.8131
15,2,2.6148,76.7788,0.0001,0.4363,0.4384,1768287313.8274
62,2,0.4565,58.2096,0.0001,0.478,0.8854,1768287314.5113
54,3,0.9464,41.8914,0.0001,0.3826,0.944,1768287316.1755
24,2,2.803,89.6641,0.0001,0.4389,0.4059,1768287316.7006
50,1,1.1902,118.6252,0.0001,0.0,0.6662,1768287317.1793
16,2,0.7512,17.6421,0.0002,0.1919,0.8949,1768287317.1806
20,1,2.0392,139.6889,0.0001,0.0,0.4144,1768287317.1812
43,2,2.2932,80.9473,0.0002,0.3873,0.4433,1768287318.9687
51,1,1.8978,113.575,0.0001,0.0,0.7128,1768287319.2317
14,2,0.3742,30.5666,0.0001,0.4617,0.869,1768287319.4974
44,3,4.9077,47.8239,0.0001,0.4081,0.955,1768287320.11
41,2,1.0211,88.3337,0.0001,0.4611,0.4158,1768287320.5263
55,2,1.602,91.6359,0.0001,0.4147,0.4137,1768287321.0503
35,1,1.2851,144.6291,0.0001,0.0,0.598,1768287322.5537
39,1,3.1516,116.8988,0.0001,0.0,0.646,1768287322.5581
40,1,4.6864,148.6879,0.0001,0.0,0.9988,1768287325.0469
47,2,1.1432,73.3879,0.0001,0.3878,0.4358,1768287326.907
26,3,0.8546,75.4637,0.0001,0.5064,0.8802,1768287327.455
32,4,6.4916,64.0193,0.0002,0.4232,0.4418,1768287328.0694
0,4,5.0762,56.9086,0.0002,0.4436,0.7495,1768287329.1897
21,4,1.2788,60.8716,0.0002,0.4239,0.7573,1768287334.8574
57,2,1.0117,106.9245,0.0001,0.443,0.3992,1768287335.4136
11,1,1.7259,139.3291,0.0001,0.0,0.5114,1768287337.8805
42,2,2.6125,100.8362,0.0001,0.436,0.4238,1768287337.8847
52,2,1.0979,54.0835,0.0001,0.374,0.7899,1768287339.0631
56,1,5.116,161.5733,0.0001,0.0,0.5179,1768287339.0642
4,4,6.1439,57.3091,0.0001,0.3728,0.5111,1768287339.5652
16,3,1.6413,20.6016,0.0001,0.1442,0.9157,1768287339.5685
49,3,1.0358,55.0073,0.0002,0.437,0.8228,1768287339.9868
60,2,0.7539,92.4994,0.0001,0.4885,0.8764,1768287340.2612
61,2,0.4499,41.0312,0.0001,0.4555,0.8372,1768287341.7299
12,5,0.4355,58.7858,0.0001,0.3296,0.964,1768287342.2899
63,2,1.5742,91.6367,0.0001,0.4083,0.4268,1768287346.1621
14,3,0.6439,26.2118,0.0001,0.3794,0.9682,1768287346.7339
58,3,0.698,79.1497,0.0001,0.9789,0.8154,1768287346.7399
9,3,5.0329,75.4683,0.0001,0.9118,0.6157,1768287347.7544
28,3,2.1839,62.3731,0.0001,0.4534,0.6741,1768287349.9864
45,3,4.242,51.9726,0.0001,0.3303,0.6982,1768287350.5612
25,2,2.1874,63.5917,0.0001,0.447,0.4259,1768287351.2041
59,3,6.2202,70.0976,0.0001,0.3842,0.876,1768287351.2053
37,4,0.6771,63.7184,0.0002,0.3897,0.8338,1768287353.1299
38,3,1.3482,80.9394,0.0002,0.3981,0.6773,1768287356.6773
20,2,1.3422,37.7087,0.0001,0.4436,0.9128,1768287356.6792
19,3,2.5082,51.5338,0.0001,0.3777,0.8722,1768287356.9617
54,4,0.627,39.7867,0.0001,0.375,0.8094,1768287356.9662
29,3,7.021,43.4218,0.0001,0.4642,0.7594,1768287357.2492
10,4,2.8057,130.2137,0.0001,0.4387,0.8526,1768287357.2502
17,5,7.2635,44.6637,0.0002,0.433,0.798,1768287359.1751
23,4,3.073,112.8305,0.0002,0.4475,0.5876,1768287363.2593
36,3,6.8108,49.9589,0.0001,0.4389,0.9799,1768287363.7864
11,2,1.2845,26.628,0.0001,0.3983,0.8654,1768287366.1943
53,1,1.2254,161.5244,0.0001,0.0,0.4877,1768287367.1838
51,2,0.9063,46.6577,0.0001,0.387,0.832,1768287367.185
13,6,7.0122,53.6542,0.0002,0.4682,0.9092,1768287367.4763
14,4,0.679,20.0199,0.0001,0.3388,0.7072,1768287367.7745
6,6,0.445,61.9468,0.0003,0.3391,0.9913,1768287367.7755
33,2,5.5329,105.6978,0.0002,0.4789,0.4277,1768287368.2282
4,5,0.704,27.4548,0.0002,0.5021,0.9332,1768287368.2303
15,3,0.6945,54.8921,0.0002,0.3838,0.9559,1768287369.7994
44,4,1.6954,52.0924,0.0001,0.7516,0.5124,1768287374.6512
62,3,1.2799,59.0777,0.0001,0.3794,0.55,1768287375.2506
2,4,7.0249,61.4272,0.0001,0.4637,0.6888,1768287375.2547
60,3,0.7737,33.8062,0.0001,0.4112,0.9375,1768287375.2557
61,3,0.6468,37.736,0.0001,0.3843,0.8819,1768287380.4984
1,2,1.2051,78.2639,0.0001,0.3881,0.4736,1768287380.8045
47,3,0.7884,55.0579,0.0001,0.3726,0.8664,1768287383.1277
41,3,1.6624,60.8812,0.0001,0.3663,0.8779,1768287383.4373
45,4,0.7256,36.8322,0.0001,0.3749,0.9119,1768287388.4953
35,2,2.0669,66.8781,0.0001,0.4248,0.4761,1768287391.9252
32,5,1.1595,63.5026,0.0001,0.332,0.9843,1768287393.0654
26,4,1.3539,65.7853,0.0002,0.3844,0.7677,1768287394.9799
24,3,0.6919,77.5244,0.0001,0.377,0.8627,1768287395.2968
43,3,0.7451,75.1885,0.0001,0.3935,0.869,1768287395.2978
14,5,0.9896,27.9551,0.0001,0.3344,0.9233,1768287397.0561
50,2,1.3346,84.9096,0.0001,0.4517,0.4368,1768287403.8782
58,4,1.4104,55.3649,0.0001,0.3605,0.8218,1768287403.8806
56,2,0.5358,63.8917,0.0001,0.3849,0.8962,1768287403.8815
40,2,1.4547,76.9672,0.0001,0.4079,0.5741,1768287403.8822
63,3,0.5567,63.7552,0.0001,0.3967,0.9777,1768287410.8726
52,3,0.6666,68.1148,0.0001,3.0307,0.9657,1768287410.8774
36,4,0.7998,46.2147,0.0001,0.4027,0.9775,1768287411.2062
3,4,5.071,139.2525,0.0002,0.6582,0.9244,1768287411.5326
11,3,0.5991,48.902,0.0001,0.386,0.9744,1768287416.0844
17,6,4.2126,53.4457,0.0002,0.3941,0.931,1768287417.2295
42,3,1.2779,78.7802,0.0001,0.4,0.9668,1768287418.3443
57,3,3.2892,79.6208,0.0001,0.3578,0.6976,1768287418.6842
22,4,7.0209,105.1887,0.0002,0.469,0.4463,1768287419.0133
48,2,1.0734,126.5183,0.0001,0.4492,0.4317,1768287419.7982
25,3,0.6413,69.9086,0.0001,0.4066,0.9721,1768287422.1619
38,4,2.102,63.7857,0.0002,0.3943,0.7433,1768287422.9613
37,5,2.556,71.0108,0.0002,0.3988,0.4788,1768287427.0967
54,5,5.8746,63.8372,0.0001,0.4213,0.7653,1768287427.1018
28,4,0.819,76.5745,0.0001,0.3975,0.9244,1768287427.7808
53,2,0.6745,61.1247,0.0001,0.3734,0.9174,1768287429.3575
51,3,0.6401,61.6211,0.0001,0.3968,0.9367,1768287429.8436
44,5,1.6392,53.1551,0.0002,0.4032,0.7272,1768287429.8499
30,3,4.3065,133.3998,0.0001,0.3991,0.8266,1768287432.6005
20,3,2.1143,73.7701,0.0001,0.3841,0.871,1768287432.953
18,3,4.5496,188.2656,0.0002,0.3828,0.4839,1768287432.9557
45,5,3.7372,43.8209,0.0001,0.3263,0.8515,1768287436.3815
33,3,1.1964,66.9378,0.0001,0.3683,0.9692,1768287436.7335
29,4,5.5759,73.8189,0.0003,0.4375,0.5546,1768287437.0837
10,5,5.5694,73.8203,0.0001,0.4427,0.9727,1768287437.0847
15,4,4.3284,67.5296,0.0002,0.5204,0.4375,1768287442.1795
13,7,1.2371,73.7843,0.0002,0.3843,0.9949,1768287442.8848
61,4,0.6422,61.8159,0.0001,0.4029,0.9481,1768287443.3611
14,6,6.5045,43.6592,0.0002,0.3222,0.8465,1768287447.5446
27,4,3.6193,142.8682,0.0002,0.4698,0.543,1768287447.9094
23,5,0.9735,84.7401,0.0002,0.369,0.9324,1768287449.3436
47,4,4.966,62.2057,0.0002,0.4006,0.4463,1768287450.7024
19,4,5.8816,88.1523,0.0001,0.4193,0.8826,1768287451.4168
11,4,3.0365,33.7478,0.0001,3.0391,0.9813,1768287455.9099
55,3,1.7093,133.1158,0.0001,0.3958,0.8664,1768287456.2735
17,7,0.6935,38.7573,0.0002,0.4232,0.9905,1768287457.1066
35,3,0.7638,64.0353,0.0001,0.3806,0.9523,1768287457.1081
1,3,0.9926,80.3265,0.0001,0.3969,0.8883,1768287462.5222
52,4,4.7747,46.8045,0.0001,0.4274,0.7386,1768287462.887
40,3,5.2165,54.7848,0.0002,0.4376,0.9544,1768287464.3235
38,5,3.7347,38.5965,0.0002,0.3988,0.9718,1768287465.6933
59,4,0.6348,117.1487,0.0001,0.4108,0.921,1768287469.4014
26,5,1.6576,72.3503,0.0002,0.4175,0.8018,1768287469.4063
63,4,4.7817,56.5524,0.0002,0.4281,0.4264,1768287472.6377
33,4,5.0029,32.4659,0.0002,0.4412,0.4987,1768287474.6453
50,3,5.2334,65.4753,0.0002,0.4247,0.8987,1768287475.0138
28,5,1.679,52.1079,0.0001,0.3861,0.9856,1768287481.955
49,4,1.0381,140.5096,0.0003,0.4193,0.9296,1768287481.9568
32,6,0.8728,89.7521,0.0002,0.3934,0.9357,1768287484.0861
58,5,5.2123,74.5525,0.0002,0.4423,0.6076,1768287484.0911
43,4,7.4685,80.8737,0.0003,0.4479,0.4503,1768287484.0917
61,5,3.0583,39.4288,0.0002,0.3979,0.5123,1768287486.2483
39,2,2.0685,161.2043,0.0001,0.4159,0.4393,1768287486.2531
42,4,1.015,66.4619,0.0001,0.4363,0.8489,1768287486.2633
30,4,0.7749,52.7651,0.0002,0.4764,0.9434,1768287486.6196
53,3,1.4511,55.4183,0.0001,0.3915,0.5351,1768287486.6208
11,5,0.7541,39.2177,0.0001,0.4377,0.9846,1768287496.3218
60,4,3.2671,119.0458,0.0001,0.4223,0.3816,1768287497.9936
4,6,1.234,128.5798,0.0001,0.3321,0.9098,1768287498.3773
21,5,2.6395,172.0454,0.0002,0.3811,0.6714,1768287509.9257
15,5,0.8486,66.9527,0.0002,0.3357,0.9959,1768287510.3182
10,6,4.6966,73.5437,0.0002,0.393,0.7807,1768287515.7211
62,4,3.2595,139.6947,0.0001,0.4322,0.927,1768287518.6391
47,5,0.7772,66.732,0.0002,0.4257,0.9964,1768287518.6409
48,3,2.7836,96.4519,0.0001,0.386,0.8408,1768287519.4215
45,6,0.8673,82.8924,0.0001,0.4189,0.9218,1768287520.5627
55,4,1.623,66.8054,0.0002,0.4448,0.7703,1768287525.1487
19,5,1.2044,72.1589,0.0002,0.3717,0.667,1768287525.1537
23,6,0.9154,79.2408,0.0002,0.4415,0.9754,1768287529.9428
22,5,2.7616,108.5837,0.0002,0.3856,0.9741,1768287530.7458
59,5,2.0339,58.8705,0.0003,0.4429,0.9861,1768287530.7499
52,5,1.4873,66.6687,0.0001,0.4238,0.9856,1768287531.4687
40,4,1.003,67.8611,0.0001,0.3699,0.8887,1768287533.56
11,6,0.5276,40.3652,0.0001,0.3633,0.9881,1768287537.5797
27,5,0.7309,88.6013,0.0002,0.3406,0.9933,1768287537.585
57,4,3.0618,115.8201,0.0002,0.4133,0.6988,1768287537.9813
38,6,2.5138,69.3263,0.0002,0.4467,0.8071,1768287537.9822
35,4,5.0383,85.0092,0.0001,0.3726,0.8297,1768287547.5316
28,6,0.972,64.6104,0.0002,0.4003,0.9869,1768287547.941
24,4,7.5244,145.8068,0.0002,0.3947,0.6685,1768287549.0239
26,6,2.0225,86.2807,0.0002,0.446,0.8379,1768287558.159
63,5,0.8395,84.2668,0.0002,0.4171,0.9933,1768287558.1635
12,6,3.4682,212.8086,0.0002,0.4077,0.3381,1768287558.9763
61,6,8.0438,66.9044,0.0003,0.4894,0.5124,1768287561.6916
1,4,1.352,98.0936,0.0002,0.448,0.8215,1768287562.417
30,5,8.4723,70.9529,0.0001,0.4582,0.9243,1768287566.504
41,4,8.0837,177.474,0.0002,0.401,0.5057,1768287569.3991
39,3,8.0673,75.6768,0.0002,0.463,0.9673,1768287570.4627
33,5,5.6082,93.8382,0.0002,0.4323,0.6414,1768287574.5263
10,7,2.1343,56.7033,0.0002,0.3813,0.8231,1768287574.9421
64,1,3.8565,157.7109,0.0001,0.0,0.4414,1768287574.9465
56,3,5.2147,172.1886,0.0002,0.4393,0.3742,1768287581.7274
40,5,0.7938,47.0028,0.0002,0.3685,0.9492,1768287581.7299
49,5,0.9402,98.8146,0.0002,0.4292,0.9805,1768287582.1441
51,4,2.0133,151.991,0.0002,0.3853,0.5713,1768287584.2339
25,4,3.9055,157.7726,0.0002,0.3971,0.4622,1768287584.2395
58,6,1.7229,98.4018,0.0003,0.4419,0.9617,1768287584.6614
45,7,3.3976,61.1712,0.0002,0.3787,0.7569,1768287585.5136
43,5,1.8157,101.0434,0.0002,0.338,0.9925,1768287587.2919
11,7,0.5716,52.0616,0.0001,0.3525,0.9832,1768287590.5679
19,6,3.9098,67.4612,0.0002,0.4701,0.5895,1768287596.9971
52,6,1.6899,65.1715,0.0001,0.3963,0.8002,1768287598.7293
23,7,1.1266,70.9978,0.0002,0.3979,0.9734,1768287602.4666
22,6,1.5968,70.5455,0.0002,0.3883,0.9677,1768287603.2775
42,5,8.0507,113.5605,0.0003,0.467,0.5854,1768287608.3438
24,5,4.5293,58.4834,0.0002,0.4134,0.9853,1768287612.4515
57,5,8.3184,69.4713,0.0002,0.3967,0.8868,1768287616.1706
27,6,8.7423,74.3481,0.0002,0.3698,0.9537,1768287621.047
61,7,1.8999,61.9246,0.0003,0.5512,0.9167,1768287626.0692
17,8,5.0053,169.1206,0.0002,0.4084,0.5162,1768287631.643
28,7,4.9817,86.9217,0.0002,0.4287,0.5956,1768287640.2746
3,5,5.2815,223.0442,0.0001,0.4194,0.9572,1768287640.2798
56,4,2.125,65.8598,0.0002,0.3854,0.9186,1768287650.1004
43,6,2.452,66.3855,0.0002,0.3836,0.946,1768287656.5151
1,5,2.8489,93.4991,0.0002,0.3919,0.8113,1768287659.1584
8,4,2.9353,460.1519,0.0002,0.4127,0.4986,1768287665.2006
26,7,3.1367,111.2561,0.0003,0.39,0.8567,1768287672.9437
10,8,4.6626,97.7398,0.0002,0.3938,0.9379,1768287677.7406
30,6,0.8282,114.404,0.0001,0.372,0.9255,1768287682.1095
40,6,0.868,101.2901,0.0002,0.3776,0.9428,1768287684.2675
49,6,1.6948,109.5893,0.0002,0.3984,0.9527,1768287693.8298
39,4,3.1859,120.1643,0.0003,0.4474,0.5497,1768287694.2628
33,6,4.0131,115.3232,0.0002,0.3982,0.8885,1768287694.2638
52,7,4.1643,105.717,0.0002,0.3789,0.8532,1768287708.9931
19,7,4.6257,110.9086,0.0003,0.4037,0.72,1768287712.9378
58,7,2.2321,131.8201,0.0002,0.3968,0.962,1768287719.1139
15,6,4.9506,205.0956,0.0002,0.4589,0.9128,1768287720.825
24,6,6.0424,124.5606,0.0003,0.3758,0.5651,1768287743.4331
64,2,3.6211,167.3614,0.0001,0.3672,0.5219,1768287746.2983
0,5,5.2258,413.5896,0.0002,0.4394,0.5528,1768287748.4473
50,4,6.1275,277.4682,0.0001,0.4369,0.8521,1768287759.0482
61,8,12.4967,125.757,0.0003,0.3921,0.4805,1768287764.7166
47,6,1.4661,253.3499,0.0002,0.4536,0.9528,1768287773.9126
56,5,13.3963,115.0395,0.0002,0.3976,0.1061,1768287778.937
17,9,17.5987,129.2731,0.0003,0.4202,0.1628,1768287778.9389
42,6,6.1277,177.1589,0.0002,0.3838,0.7291,1768287792.0161
8,5,16.5193,121.0609,0.0002,0.3851,0.1115,1768287803.168
22,7,7.0667,192.8841,0.0002,0.3754,0.8352,1768287803.6043
28,8,14.9911,157.5052,0.0003,0.3645,0.4147,1768287813.1384
34,4,6.3689,538.5961,0.0003,0.4543,0.4092,1768287819.7026
31,4,5.0288,560.2728,0.0001,0.4883,0.3407,1768287832.5539
10,9,28.6848,131.0486,0.0004,0.405,0.082,1768287837.8807
3,6,18.5161,185.8693,0.0002,0.3605,0.1578,1768287845.0276
40,7,22.1792,139.0531,0.0002,0.3825,0.1286,1768287845.8844
26,8,19.1726,160.4243,0.0004,0.402,0.0767,1768287852.9446
41,5,0.706,294.7367,0.0002,0.3544,0.9882,1768287865.1978
49,7,18.7385,159.6457,0.0002,0.3678,0.1189,1768287872.583
39,5,22.3008,155.6449,0.0002,0.3771,0.1176,1768287872.5881
33,7,46.1392,137.4794,0.0003,0.4208,0.0472,1768287878.3054
